symbol,tf,year,regime,fr,cl
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,-1.0,5
BTCUSDT,1h,2020,-1,1.0,12
BTCUSDT,1h,2020,-1,1.0,6
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,4
BTCUSDT,1h,2020,-1,1.0,7
BTCUSDT,1h,2020,-1,1.0,9
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,1.0,6
BTCUSDT,1h,2020,-1,1.0,9
BTCUSDT,1h,2020,-1,-1.0,9
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,0.0,0
BTCUSDT,1h,2020,-1,1.0,7
BTCUSDT,1h,2020,-1,-1.0,6
BTCUSDT,1h,2020,-1,-1.0,11
BTCUSDT,1h,2020,-1,1.0,0
BTCUSDT,1h,2020,-1,1.0,7
BTCUSDT,1h,2020,-1,-1.0,9
BTCUSDT,1h,2020,-1,0.0,11
BTCUSDT,1h,2020,-1,1.0,2
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,3
BTCUSDT,1h,2020,-1,1.0,11
BTCUSDT,1h,2020,-1,1.0,13
BTCUSDT,1h,2020,-1,1.0,2
BTCUSDT,1h,2020,-1,1.0,13
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,1.0,11
BTCUSDT,1h,2020,-1,-1.0,2
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,1.0,6
BTCUSDT,1h,2020,-1,1.0,13
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,1.0,9
BTCUSDT,1h,2020,-1,0.0,14
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,-1,1.0,11
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,-1.0,9
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,1.0,11
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,11
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,1.0,6
BTCUSDT,1h,2020,-1,1.0,2
BTCUSDT,1h,2020,-1,1.0,13
BTCUSDT,1h,2020,-1,0.0,3
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,1.0,7
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,1.0,11
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,-1.0,4
BTCUSDT,1h,2020,-1,0.0,11
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,1,-1.0,5
BTCUSDT,1h,2020,1,1.0,15
BTCUSDT,1h,2020,1,1.0,9
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,0.0,1
BTCUSDT,1h,2020,1,1.0,9
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,8
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,0.0,15
BTCUSDT,1h,2020,1,0.0,8
BTCUSDT,1h,2020,1,1.0,11
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,13
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,1.0,13
BTCUSDT,1h,2020,1,1.0,9
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,0.0,12
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,5
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,-1.0,8
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,0.0,9
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,0.0,5
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,-1.0,11
BTCUSDT,1h,2020,1,-1.0,12
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,-1.0,14
BTCUSDT,1h,2020,1,0.0,0
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,-1.0,11
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,4
BTCUSDT,1h,2020,1,1.0,8
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,1.0,13
BTCUSDT,1h,2020,1,-1.0,9
BTCUSDT,1h,2020,1,-1.0,8
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,0.0,15
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,-1.0,4
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,-1,1.0,0
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,-1,0.0,11
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,15
BTCUSDT,1h,2020,1,-1.0,14
BTCUSDT,1h,2020,1,0.0,13
BTCUSDT,1h,2020,-1,-1.0,14
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,1,-1.0,9
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,15
BTCUSDT,1h,2020,1,0.0,5
BTCUSDT,1h,2020,-1,0.0,13
BTCUSDT,1h,2020,-1,-1.0,4
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,-1.0,5
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,1.0,0
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,1,1.0,8
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,5
BTCUSDT,1h,2020,1,-1.0,9
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,-1.0,14
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,4
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,-1.0,4
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,1.0,5
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,1.0,12
BTCUSDT,1h,2020,-1,0.0,0
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,-1.0,6
BTCUSDT,1h,2020,-1,-1.0,12
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,1.0,2
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,12
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,1.0,6
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,12
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,-1.0,6
BTCUSDT,1h,2020,-1,1.0,3
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,11
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,3
BTCUSDT,1h,2020,-1,0.0,8
BTCUSDT,1h,2020,-1,-1.0,6
BTCUSDT,1h,2020,-1,-1.0,12
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,1.0,5
BTCUSDT,1h,2020,-1,1.0,4
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,1.0,11
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,1.0,13
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,-1,1.0,0
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,6
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,1.0,13
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,0.0,13
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,13
BTCUSDT,1h,2020,1,0.0,15
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,15
BTCUSDT,1h,2020,1,1.0,8
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,9
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,11
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,11
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,5
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,0.0,10
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,5
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,-1.0,5
BTCUSDT,1h,2020,1,-1.0,4
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,4
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,0.0,14
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,9
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,1.0,8
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,-1.0,7
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,9
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,-1,1.0,3
BTCUSDT,1h,2020,-1,-1.0,9
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,13
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,-1.0,8
BTCUSDT,1h,2020,-1,-1.0,12
BTCUSDT,1h,2020,-1,1.0,0
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,0.0,8
BTCUSDT,1h,2020,-1,-1.0,5
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,15
BTCUSDT,1h,2020,-1,-1.0,5
BTCUSDT,1h,2020,-1,1.0,3
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,-1.0,9
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,1.0,6
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,1.0,2
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,-1.0,4
BTCUSDT,1h,2020,-1,1.0,1
BTCUSDT,1h,2020,-1,1.0,10
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,1.0,5
BTCUSDT,1h,2020,-1,-1.0,13
BTCUSDT,1h,2020,-1,1.0,12
BTCUSDT,1h,2020,-1,-1.0,7
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,-1.0,9
BTCUSDT,1h,2020,-1,1.0,8
BTCUSDT,1h,2020,-1,1.0,7
BTCUSDT,1h,2020,-1,-1.0,2
BTCUSDT,1h,2020,-1,-1.0,12
BTCUSDT,1h,2020,-1,1.0,15
BTCUSDT,1h,2020,-1,1.0,5
BTCUSDT,1h,2020,-1,-1.0,2
BTCUSDT,1h,2020,-1,1.0,4
BTCUSDT,1h,2020,-1,1.0,5
BTCUSDT,1h,2020,-1,1.0,4
BTCUSDT,1h,2020,-1,1.0,4
BTCUSDT,1h,2020,-1,1.0,3
BTCUSDT,1h,2020,-1,1.0,5
BTCUSDT,1h,2020,-1,-1.0,1
BTCUSDT,1h,2020,-1,1.0,9
BTCUSDT,1h,2020,-1,-1.0,8
BTCUSDT,1h,2020,-1,-1.0,10
BTCUSDT,1h,2020,-1,1.0,3
BTCUSDT,1h,2020,-1,1.0,7
BTCUSDT,1h,2020,-1,-1.0,2
BTCUSDT,1h,2020,-1,-1.0,0
BTCUSDT,1h,2020,-1,1.0,14
BTCUSDT,1h,2020,-1,0.0,5
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,13
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,0.0,15
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,0.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,-1.0,3
BTCUSDT,1h,2020,1,1.0,9
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,-1.0,12
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,-1.0,0
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,0.0,12
BTCUSDT,1h,2020,1,0.0,14
BTCUSDT,1h,2020,1,-1.0,5
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,-1.0,2
BTCUSDT,1h,2020,1,1.0,10
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,4
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,1.0,2
BTCUSDT,1h,2020,1,0.0,4
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,12
BTCUSDT,1h,2020,1,1.0,11
BTCUSDT,1h,2020,1,1.0,7
BTCUSDT,1h,2020,1,1.0,1
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,1.0,14
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,3
BTCUSDT,1h,2020,1,-1.0,8
BTCUSDT,1h,2020,1,1.0,3
BTCUSDT,1h,2020,1,-1.0,6
BTCUSDT,1h,2020,1,1.0,12
BTCUSDT,1h,2020,1,1.0,6
BTCUSDT,1h,2020,1,-1.0,10
BTCUSDT,1h,2020,1,0.0,13
BTCUSDT,1h,2020,1,1.0,0
BTCUSDT,1h,2020,1,-1.0,1
BTCUSDT,1h,2020,1,-1.0,15
BTCUSDT,1h,2020,1,-1.0,5
